Algoritmo,Unique(Y/N),Sorted(Y/N),Run#,Problem_Size,#_Sets,Probability,#_of_Steps,Best_Cost,Time
Pruning,N,N,5,10,10,0.4,1609,11,0.10852609999710694
Pruning,N,N,6,10,10,0.4,2228,12,0.1252321999927517
Pruning,N,N,4,10,10,0.4,2375,11,0.131183300021803
Dijkstra,N,N,5,10,10,0.4,192,11,0.0696573999885004
Dijkstra,N,N,4,10,10,0.4,241,11,0.11070859999745153
Dijkstra,N,N,6,10,10,0.4,322,12,0.1252327999973204
Pruning,N,N,7,10,10,0.4,3700,12,0.2735877000086475
Pruning,N,N,8,10,10,0.4,4934,12,0.3150827999925241
Dijkstra,N,N,7,10,10,0.4,243,12,0.1149662000243552
A*,N,N,5,10,10,0.4,230,11,0.24602890000096522
Pruning,N,N,2,10,10,0.4,6548,13,0.47570539999287575
A*,N,N,4,10,10,0.4,261,11,0.2627331999829039
Pruning,Y,N,5,10,10,0.4,1942,11,0.14089740000781603
A*,N,N,6,10,10,0.4,344,12,0.34405829999013804
Dijkstra,N,N,8,10,10,0.4,671,12,0.30373250000411645
Pruning,Y,N,4,10,10,0.4,2225,11,0.15044709999347106
Dijkstra,Y,N,5,10,10,0.4,225,11,0.09108750001178123
A*,N,N,7,10,10,0.4,297,12,0.2971857000084128
Pruning,Y,N,6,10,10,0.4,2681,12,0.16485530001227744
Dijkstra,Y,N,4,10,10,0.4,242,11,0.10369530000025406
Pruning,Y,N,7,10,10,0.4,2076,12,0.12833320000208914
Dijkstra,Y,N,6,10,10,0.4,270,12,0.10526779998326674
Dijkstra,Y,N,7,10,10,0.4,236,12,0.08060939999995753
Pruning,N,N,1,10,10,0.4,10911,11,0.927380200009793
Dijkstra,N,N,2,10,10,0.4,970,13,0.46835430001374334
A*,Y,N,5,10,10,0.4,275,11,0.30907509999815375
A*,Y,N,4,10,10,0.4,259,11,0.2671027999895159
Pruning,Y,Y,5,10,10,0.4,1614,11,0.11059519997797906
Dijkstra,Y,Y,5,10,10,0.4,198,11,0.09211719999439083
Dijkstra,N,N,1,10,10,0.4,590,11,0.26218980000703596
A*,Y,N,7,10,10,0.4,284,12,0.30680459999712184
A*,N,N,8,10,10,0.4,656,12,0.5955439000099432
Pruning,Y,Y,4,10,10,0.4,2780,11,0.20494520000647753
A*,Y,N,6,10,10,0.4,346,12,0.3860580999753438
Dijkstra,Y,Y,4,10,10,0.4,251,11,0.09093889998621307
Pruning,Y,Y,7,10,10,0.4,2984,12,0.17476909997640178
A*,Y,Y,5,10,10,0.4,244,11,0.2240124000236392
Pruning,Y,Y,6,10,10,0.4,2429,12,0.14994999999180436
Dijkstra,Y,Y,7,10,10,0.4,268,12,0.11702790000708774
Dijkstra,Y,Y,6,10,10,0.4,273,12,0.11699660000158474
A*,Y,Y,4,10,10,0.4,259,11,0.28714170001330785
A*,N,N,1,10,10,0.4,520,11,0.4395272000110708
Pruning,Y,N,8,10,10,0.4,6665,12,0.5044868999975733
A*,Y,Y,7,10,10,0.4,285,12,0.3478480000048876
A*,Y,Y,6,10,10,0.4,344,12,0.3896228999947198
Pruning,Y,N,1,10,10,0.4,3736,11,0.3392636000062339
A*,N,N,2,10,10,0.4,1098,13,1.1140752999926917
Dijkstra,Y,N,8,10,10,0.4,664,12,0.3445711999956984
Dijkstra,Y,N,1,10,10,0.4,408,11,0.18451799999456853
Pruning,N,N,10,10,10,0.4,1079,12,0.07673179998528212
Dijkstra,N,N,10,10,10,0.4,107,12,0.034692699991865084
A*,N,N,10,10,10,0.4,113,12,0.11671450000721961
A*,Y,N,1,10,10,0.4,379,11,0.3503366999793798
Pruning,Y,N,10,10,10,0.4,860,12,0.052931100013665855
Dijkstra,Y,N,10,10,10,0.4,108,12,0.03298300001188181
Pruning,Y,N,2,10,10,0.4,6407,13,0.503965000010794
Pruning,N,N,9,10,10,0.4,6719,13,0.6026360999967437
Pruning,N,N,11,10,10,0.4,1815,11,0.10849640000378713
Dijkstra,N,N,11,10,10,0.4,178,11,0.07001650001620874
A*,Y,N,10,10,10,0.4,104,12,0.11375950000365265
Pruning,Y,Y,1,10,10,0.4,3024,11,0.19039089998113923
Pruning,N,N,12,10,10,0.4,3336,11,0.24422869997215457
Pruning,Y,Y,10,10,10,0.4,1979,12,0.13447799999266863
Dijkstra,Y,Y,1,10,10,0.4,324,11,0.11121269999421202
A*,Y,N,8,10,10,0.4,656,12,0.7265882999927271
Dijkstra,N,N,9,10,10,0.4,586,13,0.23415080000995658
Dijkstra,Y,Y,10,10,10,0.4,108,12,0.051963299978524446
A*,N,N,11,10,10,0.4,205,11,0.2293399999907706
Dijkstra,N,N,12,10,10,0.4,472,11,0.17297149999649264
Pruning,Y,N,11,10,10,0.4,1817,11,0.08599729998968542
A*,Y,Y,10,10,10,0.4,106,12,0.12587699998402968
Dijkstra,Y,N,2,10,10,0.4,985,13,0.4204543999803718
Dijkstra,Y,N,11,10,10,0.4,210,11,0.09320249999291264
A*,Y,Y,1,10,10,0.4,415,11,0.33252189998165704
A*,N,N,9,10,10,0.4,525,13,0.44342470000265166
A*,Y,N,11,10,10,0.4,212,11,0.24219430002267472
Pruning,Y,Y,8,10,10,0.4,7400,12,0.5889537000039127
Pruning,Y,Y,11,10,10,0.4,1819,11,0.0949655000003986
Dijkstra,Y,Y,11,10,10,0.4,197,11,0.09403999999631196
Pruning,Y,N,9,10,10,0.4,3946,13,0.2880042000033427
A*,N,N,12,10,10,0.4,774,11,0.6942851999774575
Dijkstra,Y,Y,8,10,10,0.4,652,12,0.2548649999953341
A*,Y,Y,11,10,10,0.4,208,11,0.23268149999785237
Dijkstra,Y,N,9,10,10,0.4,564,13,0.20004419999895617
Pruning,N,N,13,10,10,0.4,3577,13,0.28052280002157204
Pruning,Y,N,12,10,10,0.4,4262,11,0.30633630001102574
Dijkstra,N,N,13,10,10,0.4,517,13,0.18190530000720173
Dijkstra,Y,N,12,10,10,0.4,468,11,0.19728399999439716
A*,Y,N,2,10,10,0.4,1104,13,1.17266219999874
Pruning,N,N,14,10,10,0.4,8095,11,0.606319499987876
A*,Y,N,9,10,10,0.4,524,13,0.552483100007521
A*,Y,Y,8,10,10,0.4,655,12,0.6588422000058927
A*,N,N,13,10,10,0.4,517,13,0.429839999997057
Pruning,Y,N,13,10,10,0.4,3790,13,0.2606763000076171
Pruning,N,N,15,10,10,0.4,6015,13,0.45715430000564083
Pruning,Y,Y,2,10,10,0.4,8001,13,0.5847392000141554
Pruning,Y,Y,9,10,10,0.4,7177,13,0.5305560000124387
Dijkstra,N,N,14,10,10,0.4,1298,11,0.5461164000153076
Dijkstra,Y,N,13,10,10,0.4,534,13,0.1917173000110779
Pruning,N,N,3,10,10,0.4,50394,13,4.854899900004966
A*,Y,N,12,10,10,0.4,774,11,0.7907079000142403
Dijkstra,N,N,15,10,10,0.4,634,13,0.2469633000146132
Pruning,Y,Y,12,10,10,0.4,3163,11,0.1494609999936074
Dijkstra,Y,Y,9,10,10,0.4,648,13,0.2585045000014361
Dijkstra,Y,Y,2,10,10,0.4,959,13,0.3871733999985736
Dijkstra,Y,Y,12,10,10,0.4,442,11,0.18552050000289455
A*,Y,N,13,10,10,0.4,522,13,0.4675375000224449
Pruning,N,N,16,10,10,0.4,7989,13,0.5468744999961928
A*,N,N,15,10,10,0.4,648,13,0.4948380999849178
A*,Y,Y,9,10,10,0.4,525,13,0.4458870000089519
Pruning,Y,Y,13,10,10,0.4,4220,13,0.27209810001659207
Dijkstra,N,N,16,10,10,0.4,811,13,0.3636034000082873
Dijkstra,Y,Y,13,10,10,0.4,515,13,0.21461349999299273
Pruning,Y,N,15,10,10,0.4,5712,13,0.3600086999940686
A*,N,N,14,10,10,0.4,1217,11,0.9878087999823038
A*,Y,Y,12,10,10,0.4,774,11,0.7454992999846581
Dijkstra,Y,N,15,10,10,0.4,700,13,0.3273302000015974
A*,Y,Y,2,10,10,0.4,1097,13,1.067602099996293
A*,Y,Y,13,10,10,0.4,514,13,0.5394965999876149
Pruning,Y,N,14,10,10,0.4,7719,11,0.5784074999974109
Pruning,N,N,17,10,10,0.4,4568,11,0.3674037999880966
A*,N,N,16,10,10,0.4,853,13,0.7627819999761414
Pruning,N,N,18,10,10,0.4,2774,14,0.18931599997449666
Dijkstra,N,N,17,10,10,0.4,601,11,0.2922778000065591
A*,Y,N,15,10,10,0.4,643,13,0.6622298999864142
Pruning,Y,N,16,10,10,0.4,5532,13,0.37520280000171624
Dijkstra,N,N,18,10,10,0.4,420,14,0.1812322000041604
Dijkstra,Y,N,14,10,10,0.4,1303,11,0.5481216000043787
Pruning,N,N,20,10,10,0.4,2446,11,0.17558420001296327
Dijkstra,N,N,20,10,10,0.4,223,11,0.10431570000946522
Pruning,Y,Y,15,10,10,0.4,5632,13,0.3551345999876503
A*,N,N,17,10,10,0.4,593,11,0.47353459999430925
A*,N,N,18,10,10,0.4,380,14,0.3031888999976218
Dijkstra,Y,N,16,10,10,0.4,781,13,0.36223009999957867
A*,N,N,20,10,10,0.4,231,11,0.20088650000980124
Dijkstra,Y,Y,15,10,10,0.4,654,13,0.2061614000122063
Pruning,N,N,19,10,10,0.4,9289,14,0.6971476000035182
Pruning,Y,N,18,10,10,0.4,3535,14,0.21201999997720122
Pruning,Y,N,20,10,10,0.4,2529,11,0.1928413000132423
Pruning,Y,N,17,10,10,0.4,4973,11,0.3293007999891415
Dijkstra,Y,N,18,10,10,0.4,402,14,0.17163219998474233
Dijkstra,Y,N,20,10,10,0.4,212,11,0.09450429998105392
Dijkstra,Y,N,17,10,10,0.4,600,11,0.21975799999199808
A*,Y,N,20,10,10,0.4,245,11,0.20183640002505854
A*,Y,N,14,10,10,0.4,1213,11,0.9994518999883439
Pruning,Y,Y,20,10,10,0.4,1716,11,0.11052879999624565
A*,Y,N,18,10,10,0.4,380,14,0.35735829998156987
A*,Y,Y,15,10,10,0.4,652,13,0.6169449000153691
A*,Y,N,16,10,10,0.4,846,13,0.7609088000026532
Dijkstra,Y,Y,20,10,10,0.4,263,11,0.08778599998913705
Dijkstra,N,N,19,10,10,0.4,1363,14,0.6488888000021689
